General,General,General,General,General,Playing time,Playing time,Playing time,General,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks,Penalty kicks
Player,Nation,Pos,Age,Born,Mp,Starts,Min,90s,Ga,Ga90,Sota,Saves,Save%,W,D,L,Cs,Cs%,Pkatt,Pka,Pksv,Pkm,Save%
Emil Audero,ITA,GK,25,1997,25,25,2250,25.0,39,1.56,121,82,71.9,2,6,17,4,16.0,7,5,2,0,28.6
Martin Turk,SVN,GK,18,2003,4,4,360,4.0,9,2.25,30,21,73.3,1,1,2,0,0.0,2,1,0,1,0.0
Nicola Ravaglia,ITA,GK,33,1988,9,9,810,9.0,23,2.56,64,41,67.2,0,3,6,0,0.0,2,2,0,0,0.0
