General,General,General,General,General,General,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal kicks,Goal kicks,Goal kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Player,Nation,Pos,Age,Born,90s,Ga,Pka,Fk,Ck,Og,Psxg,Psxg/sot,Psxg+/-,/90,Cmp,Att,Cmp%,Att (gk),Thr,Launch%,Avglen,Att,Launch%,Avglen,Opp,Stp,Stp%,#opa,#opa/90,Avgdist
Emil Audero,ITA,GK,25,1997,25.0,39,5,0,4,2,32.3,0.21,-4.7,-0.19,159,441,36.1,714,104,45.8,39.1,200,57.0,44.2,356,24,6.7,23,0.92,13.9
Martin Turk,SVN,GK,18,2003,4.0,9,1,0,3,0,8.0,0.26,-1.0,-0.25,35,78,44.9,99,15,41.4,35.1,43,86.0,56.3,60,0,0.0,2,0.5,12.3
Nicola Ravaglia,ITA,GK,33,1988,9.0,23,2,0,3,0,17.9,0.26,-5.1,-0.57,49,145,33.8,226,45,42.5,35.6,99,49.5,37.6,155,10,6.5,1,0.11,10.5
