General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Abdelhamid Sabiri,MAR,"MF,FW",25,1996,11.9,618,15,64,304,257,31,616,39,14,35.9,17,43.6,363,1503,536,7,20,5,34,28,423,54
Alessandro Zanoli,ITA,DF,21,2000,17.1,862,74,326,339,213,22,862,45,27,60.0,12,26.7,455,2781,1661,50,23,10,15,9,522,60
Alex Ferrari,ITA,DF,28,1994,9.6,560,51,276,265,25,5,560,6,3,50.0,3,50.0,304,1591,849,7,1,0,10,3,308,3
Andrea Conti,ITA,DF,28,1994,0.3,11,0,0,8,3,0,11,0,0,,0,,4,10,5,0,0,0,0,1,6,2
Bartosz Bereszyński,POL,DF,30,1992,13.3,759,48,255,317,198,13,759,15,4,26.7,11,73.3,329,1643,860,20,16,1,12,5,354,40
Bram Nuytinck,NED,DF,32,1990,16.6,878,160,575,290,15,12,878,1,0,0.0,1,100.0,471,2123,936,4,0,0,4,2,486,3
Bruno Amione,ARG,DF,20,2002,23.2,1263,139,715,479,83,24,1263,10,2,20.0,6,60.0,663,2805,1165,11,16,0,20,1,691,9
Daniele Montevago,ITA,FW,19,2003,2.6,79,2,4,31,44,18,79,4,0,0.0,4,100.0,42,141,44,1,1,1,9,4,61,10
Emil Audero,ITA,GK,25,1997,25.0,982,811,968,17,0,0,982,0,0,,0,,548,2997,1827,0,0,0,1,0,414,0
Emirhan İlkhan,TUR,MF,18,2004,1.3,90,6,16,53,21,1,90,3,1,33.3,2,66.7,50,216,74,1,1,0,5,0,58,8
Fabio Depaoli,ITA,"DF,MF",25,1997,1.5,117,6,28,56,34,3,117,7,3,42.9,2,28.6,73,347,184,2,3,0,2,1,70,6
Fabio Quagliarella,ITA,FW,39,1983,8.9,340,10,34,142,166,46,340,9,4,44.4,3,33.3,210,755,206,5,4,3,23,5,257,72
Filip Đuričić,SRB,"MF,FW",30,1992,24.1,992,15,145,488,380,34,992,70,31,44.3,30,42.9,591,3342,1599,39,42,3,59,47,689,83
Flavio Paoletti,ITA,MF,19,2003,3.2,191,12,53,112,27,1,191,3,2,66.7,1,33.3,121,793,338,7,4,0,5,0,133,8
Francesco Caputo,ITA,FW,34,1987,12.2,309,4,11,126,172,49,309,9,3,33.3,5,55.6,181,696,192,6,4,7,21,14,243,76
