General,General,General,General,General,Playing time,Playing time,Playing time,Playing time,Playing time,Starts,Starts,Starts,Subs,Subs,Subs,Team success,Team success,Team success,Team success,Team success,Team success,Team success (xg),Team success (xg),Team success (xg),Team success (xg),Team success (xg)
Player,Nation,Pos,Age,Born,Mp,Min,Mn/mp,Min%,90s,Starts,Mn/start,Compl,Subs,Mn/sub,Unsub,Ppm,Ong,Onga,+/-,+/-90,On-off,Onxg,Onxga,Xg+/-,Xg+/-90,On-off
Aaron Ciammaglichella,ITA,MF,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Aleksei Miranchuk,RUS,MF,26,1995,29,2089,72,61.1,23.2,24,82,12,5,26,1,1.38,29,24,5,0.22,0.49,23.1,22.6,0.5,0.02,-0.06
Alessandro Buongiorno,ITA,DF,23,1999,34,2721,80,79.6,30.2,30,85,24,4,39,2,1.41,35,30,5,0.17,0.68,32.3,30.1,2.2,0.07,0.12
Ali Dembélé,FRA,DF,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Andrew Gravillon,GLP,DF,24,1998,7,312,45,9.1,3.5,4,70,0,3,11,11,1.0,3,5,-2,-0.58,-0.66,3.0,4.6,-1.7,-0.49,-0.59
Antonio Sanabria,PAR,FW,26,1996,33,2433,74,71.1,27.0,28,82,12,5,25,2,1.33,29,31,-2,-0.07,-0.35,31.2,27.2,4.0,0.15,0.35
Brian Bayeye,COD,DF,22,2000,2,64,32,1.9,0.7,1,54,0,1,10,35,1.0,0,2,-2,-2.81,-2.89,0.2,0.7,-0.5,-0.7,-0.76
Caumenan N'Guessan,FRA,DF,18,2003,0,,,,,0,,0,0,,9,,,,,,,,,,,
David Zima,CZE,DF,21,2000,9,406,45,11.9,4.5,4,83,3,5,15,10,1.56,6,5,1,0.22,0.22,4.9,6.6,-1.7,-0.37,-0.48
Demba Seck,SEN,"MF,FW",21,2001,19,519,27,15.2,5.8,6,65,0,13,10,17,1.21,2,5,-3,-0.52,-0.64,5.3,6.5,-1.2,-0.2,-0.29
Emirhan İlkhan,TUR,MF,18,2004,4,87,22,2.5,1.0,1,63,0,3,8,11,2.25,1,2,-1,-1.03,-1.09,1.2,1.9,-0.7,-0.71,-0.77
Etrit Berisha,ALB,GK,33,1989,0,,,,,0,,0,0,,13,,,,,,,,,,,
Gvidas Gineitis,LTU,MF,18,2004,3,136,45,4.0,1.5,2,68,1,1,1,20,0.33,0,1,-1,-0.66,-0.72,0.7,1.5,-0.8,-0.52,-0.59
Ivan Ilić,SRB,MF,21,2001,14,1177,84,34.4,13.1,13,88,9,1,37,1,1.57,18,12,6,0.46,0.66,14.8,9.4,5.4,0.41,0.55
Jacopo Segre,ITA,DF,25,1997,1,21,21,0.6,0.2,0,,0,1,21,1,3.0,0,1,-1,-4.29,-4.34,0.6,1.0,-0.4,-1.63,-1.69
Karol Linetty,POL,MF,27,1995,32,1886,59,55.1,21.0,22,76,10,10,21,5,1.41,22,26,-4,-0.19,-0.48,24.9,23.4,1.5,0.07,0.05
Koffi Djidji,CIV,DF,29,1992,34,2424,71,70.9,26.9,26,87,19,8,21,3,1.35,27,30,-3,-0.11,-0.47,28.2,28.9,-0.7,-0.03,-0.25
Luca Gemello,ITA,GK,22,2000,0,,,,,0,,0,0,,36,,,,,,,,,,,
Matt Garbett,NZL,MF,20,2002,0,,,,,0,,0,0,,16,,,,,,,,,,,
Matteo Fiorenza,ITA,GK,19,2003,0,,,,,0,,0,0,,27,,,,,,,,,,,
Michel Ndary Adopo,FRA,"MF,DF",22,2000,9,264,29,7.7,2.9,3,68,0,6,10,29,1.89,3,3,0,0.0,-0.03,2.9,3.8,-0.9,-0.29,-0.37
Mërgim Vojvoda,KVX,DF,27,1995,29,1719,59,50.3,19.1,18,81,12,11,24,6,1.45,24,21,3,0.16,0.26,23.1,18.8,4.3,0.22,0.35
Nemanja Radonjić,SRB,"MF,FW",26,1996,28,1461,52,42.7,16.2,16,77,4,12,20,2,1.18,18,18,0,0.0,-0.05,18.0,17.6,0.4,0.03,-0.04
Nikola Vlašić,CRO,"MF,FW",24,1997,34,2728,80,79.8,30.3,29,87,23,5,42,0,1.35,33,30,3,0.1,0.36,33.6,33.7,-0.2,-0.01,-0.26
Ola Aina,NGA,DF,25,1996,19,876,46,25.6,9.7,9,75,4,10,20,3,1.53,10,7,3,0.31,0.38,13.7,10.5,3.2,0.32,0.37
Perr Schuurs,NED,DF,22,1999,30,2326,78,68.0,25.8,28,82,21,2,14,4,1.43,26,29,-3,-0.12,-0.45,28.6,25.1,3.4,0.13,0.27
Pietro Pellegri,ITA,FW,21,2001,18,465,26,13.6,5.2,4,61,0,14,16,8,1.22,8,5,3,0.58,0.64,6.7,5.8,0.9,0.17,0.14
Ricardo Rodríguez,SUI,DF,29,1992,35,2670,76,78.1,29.7,30,85,21,5,27,2,1.34,33,31,2,0.07,0.19,32.2,29.9,2.3,0.08,0.14
Ronaldo Vieira,ENG,MF,24,1998,2,16,8,0.5,0.2,0,,0,2,8,6,3.0,0,0,0,0.0,-0.03,0.2,0.1,0.1,0.49,0.44
Samuele Ricci,ITA,MF,20,2001,28,2070,74,60.5,23.0,23,84,15,5,28,3,1.54,28,22,6,0.26,0.59,24.3,23.5,0.8,0.04,-0.03
Saša Lukić,SRB,MF,25,1996,16,1195,75,34.9,13.3,13,87,12,3,23,0,1.06,13,18,-5,-0.38,-0.62,13.7,17.4,-3.7,-0.28,-0.5
Sebastian Wade,ESP,DF,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Simone Edera,ITA,MF,25,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
Valentino Lazaro,AUT,DF,26,1996,23,1373,60,40.1,15.3,15,80,6,8,22,3,1.17,17,17,0,0.0,-0.04,16.1,18.5,-2.4,-0.16,-0.35
Vanja Milinković-Savić,SRB,GK,25,1997,38,3420,90,100.0,38.0,38,90,38,0,,0,1.39,42,41,1,0.03,,41.8,40.0,1.8,0.05,
Wilfried Singo,CIV,DF,21,2000,31,2046,66,59.8,22.7,24,78,9,7,24,3,1.32,26,27,-1,-0.04,-0.17,22.6,23.6,-1.0,-0.04,-0.23
Yann Karamoh,FRA,"MF,FW",24,1998,21,716,34,20.9,8.0,7,63,0,14,19,9,1.24,9,8,1,0.13,0.13,11.8,6.9,4.9,0.62,0.72
