General,General,General,General,General,General,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,General,General,Expected,Expected,General,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Cmp,Att,Cmp%,Totdist,Prgdist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,Xag,Xa,A-xag,Kp,1/3,Ppa,Crspa,Prgp
Aleksei Miranchuk,RUS,MF,26,1995,23.2,653,821,79.5,10323,2484,345,398,86.7,219,263,83.3,54,100,54.0,5,4.2,3.3,0.8,43,73,32,7,99
Alessandro Buongiorno,ITA,DF,23,1999,30.2,1332,1573,84.7,22243,6857,578,643,89.9,671,750,89.5,57,113,50.4,2,1.3,1.0,0.7,8,70,5,3,81
Andrew Gravillon,GLP,DF,24,1998,3.5,131,163,80.4,2543,762,46,51,90.2,75,85,88.2,10,21,47.6,0,0.0,0.0,0.0,0,5,0,0,9
Antonio Sanabria,PAR,FW,26,1996,27.0,524,691,75.8,7116,910,335,405,82.7,132,177,74.6,23,31,74.2,4,3.0,1.4,1.0,25,34,15,0,46
Brian Bayeye,COD,DF,22,2000,0.7,30,50,60.0,509,284,14,16,87.5,11,17,64.7,4,6,66.7,0,0.0,0.0,0.0,1,2,1,1,3
David Zima,CZE,DF,21,2000,4.5,154,197,78.2,2708,743,60,77,77.9,73,86,84.9,12,20,60.0,0,0.1,0.0,-0.1,2,6,3,0,12
Demba Seck,SEN,"MF,FW",21,2001,5.8,127,166,76.5,1746,354,79,88,89.8,41,52,78.8,3,6,50.0,0,0.6,0.3,-0.6,6,8,5,0,17
Emirhan İlkhan,TUR,MF,18,2004,1.0,36,43,83.7,671,140,16,19,84.2,12,13,92.3,7,9,77.8,0,0.1,0.0,-0.1,1,6,2,0,8
Gvidas Gineitis,LTU,MF,18,2004,1.5,75,90,83.3,1268,262,36,43,83.7,31,35,88.6,6,7,85.7,0,0.0,0.0,0.0,0,6,0,0,6
Ivan Ilić,SRB,MF,21,2001,13.1,713,824,86.5,11609,2711,338,367,92.1,311,348,89.4,41,69,59.4,2,1.1,1.4,0.9,13,66,12,4,66
Jacopo Segre,ITA,DF,25,1997,0.2,8,9,88.9,103,22,6,7,85.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Karol Linetty,POL,MF,27,1995,21.0,832,966,86.1,13835,3130,391,439,89.1,366,395,92.7,55,84,65.5,0,0.9,0.8,-0.9,20,77,5,1,73
Koffi Djidji,CIV,DF,29,1992,26.9,1249,1441,86.7,22239,6388,504,543,92.8,617,672,91.8,101,171,59.1,0,0.1,0.3,-0.1,2,81,5,2,83
Michel Ndary Adopo,FRA,"MF,DF",22,2000,2.9,122,141,86.5,1816,492,66,75,88.0,49,55,89.1,5,6,83.3,0,0.0,0.1,0.0,1,8,0,0,10
Mërgim Vojvoda,KVX,DF,27,1995,19.1,887,1143,77.6,15034,6134,436,503,86.7,363,450,80.7,71,131,54.2,5,3.7,2.6,1.3,23,97,27,5,125
Nemanja Radonjić,SRB,"MF,FW",26,1996,16.2,298,473,63.0,4373,1199,181,231,78.4,77,124,62.1,25,62,40.3,2,1.7,2.4,0.3,18,20,19,8,42
Nikola Vlašić,CRO,"MF,FW",24,1997,30.3,775,981,79.0,10928,2475,448,510,87.8,234,286,81.8,42,62,67.7,6,4.1,3.3,1.9,63,70,26,8,106
Ola Aina,NGA,DF,25,1996,9.7,402,544,73.9,6725,2554,210,232,90.5,130,173,75.1,48,93,51.6,1,2.1,1.9,-1.1,12,35,14,9,43
Perr Schuurs,NED,DF,22,1999,25.8,1058,1201,88.1,20819,6259,320,358,89.4,622,671,92.7,108,142,76.1,2,0.9,0.8,1.1,7,35,3,0,56
Pietro Pellegri,ITA,FW,21,2001,5.2,61,80,76.3,785,70,39,49,79.6,18,19,94.7,1,3,33.3,0,0.5,0.5,-0.5,5,3,3,0,8
Ricardo Rodríguez,SUI,DF,29,1992,29.7,1439,1757,81.9,25311,8461,664,726,91.5,625,718,87.0,128,242,52.9,0,1.9,2.2,-1.9,29,114,26,12,133
Ronaldo Vieira,ENG,MF,24,1998,0.2,6,7,85.7,93,34,2,2,100.0,2,3,66.7,1,1,100.0,0,0.0,0.1,0.0,0,0,1,1,1
Samuele Ricci,ITA,MF,20,2001,23.0,1034,1181,87.6,17604,4043,464,508,91.3,451,492,91.7,83,114,72.8,1,1.8,1.4,-0.8,16,96,12,2,104
Saša Lukić,SRB,MF,25,1996,13.3,627,732,85.7,11788,2410,232,265,87.5,307,339,90.6,78,102,76.5,0,1.4,1.3,-1.4,16,54,8,3,44
Valentino Lazaro,AUT,DF,26,1996,15.3,674,902,74.7,11347,4278,329,374,88.0,260,336,77.4,65,139,46.8,3,2.7,2.5,0.3,29,48,19,10,74
Vanja Milinković-Savić,SRB,GK,25,1997,38.0,1113,1806,61.6,35389,25444,158,160,98.8,551,558,98.7,401,1070,37.5,0,0.5,0.2,-0.5,1,94,2,0,0
Wilfried Singo,CIV,DF,21,2000,22.7,853,1138,75.0,14659,4321,393,458,85.8,376,492,76.4,67,131,51.1,1,1.9,1.7,-0.9,23,46,24,10,67
Yann Karamoh,FRA,"MF,FW",24,1998,8.0,163,216,75.5,2385,407,98,112,87.5,55,69,79.7,6,13,46.2,0,0.7,0.4,-0.7,11,5,5,3,12
