General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
Aleksei Miranchuk,RUS,MF,26,1995,23.2,1010,10,66,527,424,42,1010,46,15,32.6,25,54.3,667,3642,1633,47,44,8,47,27,802,105
Alessandro Buongiorno,ITA,DF,23,1999,30.2,1938,161,860,976,110,33,1938,16,6,37.5,7,43.8,986,4659,2324,13,16,2,33,6,1180,19
Andrew Gravillon,GLP,DF,24,1998,3.5,212,25,121,77,14,0,212,2,1,50.0,1,50.0,112,428,242,1,2,0,3,1,131,0
Antonio Sanabria,PAR,FW,26,1996,27.0,946,11,49,457,450,117,945,41,23,56.1,11,26.8,496,2285,536,17,19,11,83,29,730,139
Brian Bayeye,COD,DF,22,2000,0.7,64,6,29,24,11,3,64,2,2,100.0,0,0.0,23,139,93,3,2,2,3,2,29,5
David Zima,CZE,DF,21,2000,4.5,245,20,114,121,12,5,245,1,1,100.0,0,0.0,111,541,279,3,2,0,1,2,129,5
Demba Seck,SEN,"MF,FW",21,2001,5.8,238,2,22,107,117,27,238,30,16,53.3,9,30.0,164,1395,752,29,19,12,24,13,185,42
Emirhan İlkhan,TUR,MF,18,2004,1.0,58,4,12,34,12,0,58,2,1,50.0,1,50.0,39,240,86,2,4,0,2,2,38,3
Gvidas Gineitis,LTU,MF,18,2004,1.5,102,1,9,74,19,3,102,3,1,33.3,2,66.7,58,255,142,3,3,1,1,1,75,7
Ivan Ilić,SRB,MF,21,2001,13.1,930,19,150,613,179,8,930,15,7,46.7,3,20.0,518,3188,1577,29,28,3,19,5,666,28
Jacopo Segre,ITA,DF,25,1997,0.2,12,0,4,8,0,0,12,0,0,,0,,8,33,12,0,0,0,0,0,7,0
Karol Linetty,POL,MF,27,1995,21.0,1175,37,213,708,260,21,1175,22,7,31.8,13,59.1,625,3132,1657,27,24,3,27,11,767,32
Koffi Djidji,CIV,DF,29,1992,26.9,1678,129,754,844,90,8,1678,5,4,80.0,1,20.0,919,3316,1486,11,10,0,7,6,1123,13
Michel Ndary Adopo,FRA,"MF,DF",22,2000,2.9,172,7,36,112,25,2,172,6,3,50.0,3,50.0,84,377,193,2,1,0,4,3,103,4
Mërgim Vojvoda,KVX,DF,27,1995,19.1,1304,37,302,627,389,39,1304,22,12,54.5,8,36.4,686,3409,1607,30,27,10,20,17,841,81
Nemanja Radonjić,SRB,"MF,FW",26,1996,16.2,714,2,47,236,444,90,714,120,50,41.7,60,50.0,520,4385,2110,86,48,52,53,34,568,163
Nikola Vlašić,CRO,"MF,FW",24,1997,30.3,1296,16,131,548,641,116,1296,64,30,46.9,26,40.6,782,4766,2266,85,59,28,94,49,968,210
Ola Aina,NGA,DF,25,1996,9.7,679,20,146,294,250,13,679,49,23,46.9,20,40.8,361,2268,1112,35,26,4,15,8,390,43
Perr Schuurs,NED,DF,22,1999,25.8,1479,145,759,671,67,17,1479,14,10,71.4,3,21.4,768,3730,1812,14,16,1,21,7,814,2
Pietro Pellegri,ITA,FW,21,2001,5.2,159,3,9,58,92,20,159,16,3,18.8,11,68.8,101,532,111,4,2,3,24,19,125,50
Ricardo Rodríguez,SUI,DF,29,1992,29.7,1993,119,692,998,314,12,1993,13,7,53.8,5,38.5,1136,5905,3111,49,58,5,13,11,1328,51
Ronaldo Vieira,ENG,MF,24,1998,0.2,13,3,3,5,5,1,13,0,0,,0,,2,5,0,0,0,0,2,1,5,0
Samuele Ricci,ITA,MF,20,2001,23.0,1376,50,233,900,258,15,1376,26,8,30.8,12,46.2,868,4897,2083,43,30,5,21,17,974,31
Saša Lukić,SRB,MF,25,1996,13.3,850,29,129,537,190,23,849,7,1,14.3,4,57.1,448,2360,1057,26,18,4,17,8,556,33
Valentino Lazaro,AUT,DF,26,1996,15.3,1017,38,200,433,394,23,1017,35,16,45.7,13,37.1,496,2428,1262,44,25,8,16,4,607,84
Vanja Milinković-Savić,SRB,GK,25,1997,38.0,1882,1342,1862,21,1,1,1882,0,0,,0,,1187,7724,4634,0,0,0,2,1,1000,0
Wilfried Singo,CIV,DF,21,2000,22.7,1354,46,299,649,420,59,1354,54,30,55.6,13,24.1,708,3749,1789,54,34,9,33,17,849,93
Yann Karamoh,FRA,"MF,FW",24,1998,8.0,347,4,22,139,192,35,347,57,26,45.6,25,43.9,221,1493,646,27,10,11,33,13,257,74
