General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Aleksei Miranchuk,RUS,MF,26,1995,23.2,821,786,32,5,9,5,30,8,19,13,0,0,653,3,16
Alessandro Buongiorno,ITA,DF,23,1999,30.2,1573,1527,41,30,1,3,8,6,0,0,0,0,1332,5,21
Andrew Gravillon,GLP,DF,24,1998,3.5,163,156,6,4,0,3,3,2,0,0,0,0,131,1,1
Antonio Sanabria,PAR,FW,26,1996,27.0,691,632,58,2,1,5,2,2,0,0,0,0,524,1,18
Brian Bayeye,COD,DF,22,2000,0.7,50,38,12,0,0,0,2,12,0,0,0,0,30,0,6
David Zima,CZE,DF,21,2000,4.5,197,194,3,3,0,0,0,0,0,0,0,0,154,0,3
Demba Seck,SEN,"MF,FW",21,2001,5.8,166,159,6,1,2,0,7,2,0,0,0,0,127,1,7
Emirhan İlkhan,TUR,MF,18,2004,1.0,43,41,2,2,0,2,0,0,0,0,0,0,36,0,0
Gvidas Gineitis,LTU,MF,18,2004,1.5,90,87,3,1,0,0,0,2,0,0,0,0,75,0,3
Ivan Ilić,SRB,MF,21,2001,13.1,824,767,55,29,3,1,34,7,19,17,2,0,713,2,9
Jacopo Segre,ITA,DF,25,1997,0.2,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Karol Linetty,POL,MF,27,1995,21.0,966,913,49,32,3,10,21,1,16,5,8,0,832,4,10
Koffi Djidji,CIV,DF,29,1992,26.9,1441,1408,30,15,1,10,13,14,0,0,0,0,1249,3,20
Michel Ndary Adopo,FRA,"MF,DF",22,2000,2.9,141,136,5,4,0,1,0,0,0,0,0,0,122,0,1
Mërgim Vojvoda,KVX,DF,27,1995,19.1,1143,960,178,16,4,13,43,152,10,6,0,0,887,5,18
Nemanja Radonjić,SRB,"MF,FW",26,1996,16.2,473,440,29,1,2,5,76,3,25,17,5,0,298,4,23
Nikola Vlašić,CRO,"MF,FW",24,1997,30.3,981,954,23,3,2,8,46,5,9,5,2,0,775,4,43
Ola Aina,NGA,DF,25,1996,9.7,544,432,108,8,0,3,35,97,3,0,0,0,402,4,17
Perr Schuurs,NED,DF,22,1999,25.8,1201,1165,36,31,0,1,2,5,0,0,0,0,1058,0,7
Pietro Pellegri,ITA,FW,21,2001,5.2,80,71,9,1,0,0,3,0,0,0,0,0,61,0,6
Ricardo Rodríguez,SUI,DF,29,1992,29.7,1757,1602,145,40,0,18,71,87,13,10,3,0,1439,10,31
Ronaldo Vieira,ENG,MF,24,1998,0.2,7,7,0,0,0,0,1,0,0,0,0,0,6,0,0
Samuele Ricci,ITA,MF,20,2001,23.0,1181,1111,66,52,2,4,31,1,13,12,1,0,1034,4,16
Saša Lukić,SRB,MF,25,1996,13.3,732,692,38,29,1,6,25,5,4,0,4,0,627,2,7
Valentino Lazaro,AUT,DF,26,1996,15.3,902,693,205,22,0,1,86,142,41,14,17,1,674,4,20
Vanja Milinković-Savić,SRB,GK,25,1997,38.0,1806,1412,380,93,0,8,0,1,0,0,0,0,1113,14,1
Wilfried Singo,CIV,DF,21,2000,22.7,1138,923,207,20,3,7,56,187,0,0,0,0,853,8,19
Yann Karamoh,FRA,"MF,FW",24,1998,8.0,216,208,7,1,2,3,15,1,0,0,0,0,163,1,13
