General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adrien Truffert,FRA,DF,20,2001,21.7,62,32,36,17,9,31,46,67.4,15,32,8,24,22,84,55,0
Alan Do Marcolino,GAB,FW,20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Amine Gouiri,ALG,"FW,MF",22,2000,28.0,42,25,14,16,12,14,33,42.4,19,21,0,21,12,54,10,0
Arnaud Kalimuendo,FRA,FW,20,2002,20.5,15,8,3,6,6,5,20,25.0,15,15,2,13,2,17,9,0
Arthur Theate,BEL,DF,22,2000,34.7,29,19,17,8,4,17,30,56.7,13,26,14,12,30,59,114,3
Baptiste Santamaria,FRA,MF,27,1995,20.1,41,22,13,23,5,21,41,51.2,20,21,5,16,21,62,23,0
Benjamin Bourigeaud,FRA,"MF,FW",28,1994,34.1,45,29,16,23,6,21,65,32.3,44,38,3,35,31,76,32,0
Birger Meling,NOR,DF,27,1994,13.4,24,15,9,12,3,12,25,48.0,13,18,2,16,23,47,26,0
Christopher Wooh,CMR,DF,20,2001,11.2,16,7,8,8,0,9,11,81.8,2,11,5,6,6,22,49,0
Djed Spence,ENG,DF,21,2000,6.4,14,6,8,2,4,11,18,61.1,7,10,3,7,4,18,15,0
Doğan Alemdar,TUR,GK,19,2002,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1
Désiré Doué,FRA,"MF,FW",17,2005,12.4,37,18,10,23,4,13,32,40.6,19,17,1,16,13,50,3,0
Flavien Tait,FRA,MF,29,1993,18.7,30,15,8,17,5,19,42,45.2,23,16,4,12,20,50,12,0
Gaëtan Laborde,FRA,FW,28,1994,2.8,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0
Guela Doué,CIV,"FW,MF",19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Hamari Traoré,MLI,DF,30,1992,28.1,48,32,26,15,7,28,52,53.8,24,33,7,26,38,86,64,0
Ibrahim Salah,MAR,"FW,MF",20,2001,2.5,8,1,5,3,0,2,15,13.3,13,3,0,3,2,10,0,0
Jeanuël Belocian,FRA,DF,17,2005,5.6,10,7,3,5,2,5,9,55.6,4,6,3,3,6,16,11,0
Jeremy Doku,BEL,"MF,FW",20,2002,14.3,25,16,6,13,6,12,24,50.0,12,10,0,10,5,30,2,0
Joe Rodon,WAL,DF,24,1997,15.7,11,7,9,2,0,4,10,40.0,6,16,12,4,9,20,54,1
Kamaldeen Sulemana,GHA,"FW,MF",20,2002,3.6,6,3,1,4,1,1,5,20.0,4,2,0,2,4,10,2,0
Karl Toko Ekambi,CMR,"FW,MF",29,1992,10.8,3,1,1,1,1,3,9,33.3,6,5,0,5,9,12,3,0
Lesley Ugochukwu,FRA,MF,18,2004,14.8,36,19,13,20,3,16,24,66.7,8,24,10,14,21,57,16,0
Lorenz Assignon,TOG,DF,22,2000,2.9,6,2,4,2,0,2,4,50.0,2,6,0,6,2,8,9,0
Lovro Majer,CRO,"MF,FW",24,1998,18.5,34,23,16,13,5,8,29,27.6,21,21,1,20,21,55,5,1
Loïc Bade,FRA,DF,22,2000,1.0,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0
Martin Terrier,FRA,"FW,MF",25,1997,14.7,25,11,7,9,9,13,24,54.2,11,15,2,13,14,39,6,0
Matthis Abline,FRA,"FW,MF",19,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0
Serhou Guirassy,GUI,MF,26,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Steve Mandanda,FRA,GK,37,1985,33.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,3
Warmed Omari,FRA,DF,22,2000,15.1,20,11,14,6,0,14,28,50.0,14,13,7,6,17,37,43,1
Xeka,POR,MF,27,1994,6.1,10,3,6,3,1,7,16,43.8,9,11,2,9,6,16,8,0
