General,General,General,General,General,General,General,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Pass types,Corner kicks,Corner kicks,Corner kicks,Outcomes,Outcomes,Outcomes
Player,Nation,Pos,Age,Born,90s,Att,Live,Dead,Fk,Tb,Sw,Crs,Ti,Ck,In,Out,Str,Cmp,Off,Blocks
Adrien Truffert,FRA,DF,20,2001,21.7,1395,1153,239,17,0,2,35,222,0,0,0,0,1106,3,36
Alan Do Marcolino,GAB,FW,20,2002,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Amine Gouiri,ALG,"FW,MF",22,2000,28.0,742,718,22,0,5,2,10,1,0,0,0,0,588,2,26
Arnaud Kalimuendo,FRA,FW,20,2002,20.5,442,401,39,0,0,0,14,4,0,0,0,0,359,2,22
Arthur Theate,BEL,DF,22,2000,34.7,2568,2501,62,53,0,12,1,6,0,0,0,0,2296,5,12
Baptiste Santamaria,FRA,MF,27,1995,20.1,1317,1280,35,35,1,12,7,0,0,0,0,0,1119,2,19
Benjamin Bourigeaud,FRA,"MF,FW",28,1994,34.1,2007,1766,230,63,13,23,231,39,128,45,64,0,1505,11,40
Birger Meling,NOR,DF,27,1994,13.4,787,651,133,10,2,2,18,123,0,0,0,0,671,3,16
Christopher Wooh,CMR,DF,20,2001,11.2,618,605,12,12,0,4,1,0,0,0,0,0,569,1,2
Djed Spence,ENG,DF,21,2000,6.4,315,265,50,7,0,0,4,43,0,0,0,0,278,0,4
Doğan Alemdar,TUR,GK,19,2002,4.5,145,96,48,13,0,0,0,0,0,0,0,0,95,1,0
Désiré Doué,FRA,"MF,FW",17,2005,12.4,453,437,15,1,3,1,30,1,12,6,3,0,351,1,4
Flavien Tait,FRA,MF,29,1993,18.7,1087,1052,32,25,4,8,7,4,3,0,0,0,933,3,23
Gaëtan Laborde,FRA,FW,28,1994,2.8,61,54,7,0,0,0,3,0,0,0,0,0,41,0,6
Guela Doué,CIV,"FW,MF",19,2002,0.1,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0
Hamari Traoré,MLI,DF,30,1992,28.1,1826,1624,200,26,4,10,63,174,0,0,0,0,1541,2,28
Ibrahim Salah,MAR,"FW,MF",20,2001,2.5,121,120,1,0,0,0,8,1,0,0,0,0,94,0,4
Jeanuël Belocian,FRA,DF,17,2005,5.6,308,278,30,3,0,1,3,27,0,0,0,0,274,0,4
Jeremy Doku,BEL,"MF,FW",20,2002,14.3,521,516,3,2,2,3,24,1,0,0,0,0,433,2,13
Joe Rodon,WAL,DF,24,1997,15.7,1051,1040,10,10,0,3,1,0,0,0,0,0,945,1,3
Kamaldeen Sulemana,GHA,"FW,MF",20,2002,3.6,155,149,5,1,0,2,10,4,0,0,0,0,127,1,6
Karl Toko Ekambi,CMR,"FW,MF",29,1992,10.8,288,278,10,0,0,1,6,3,0,0,0,0,208,0,7
Lesley Ugochukwu,FRA,MF,18,2004,14.8,648,634,14,14,0,3,2,0,0,0,0,0,566,0,8
Lorenz Assignon,TOG,DF,22,2000,2.9,155,127,27,5,0,0,4,22,0,0,0,0,127,1,2
Lovro Majer,CRO,"MF,FW",24,1998,18.5,976,909,60,22,6,4,67,7,31,12,11,0,758,7,45
Loïc Bade,FRA,DF,22,2000,1.0,59,59,0,0,0,0,0,0,0,0,0,0,52,0,0
Martin Terrier,FRA,"FW,MF",25,1997,14.7,603,593,9,2,5,5,13,1,0,0,0,0,447,1,17
Matthis Abline,FRA,"FW,MF",19,2003,1.2,15,15,0,0,1,0,2,0,0,0,0,0,7,0,1
Serhou Guirassy,GUI,MF,26,1996,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Steve Mandanda,FRA,GK,37,1985,33.5,1216,917,297,105,0,0,0,0,0,0,0,0,919,2,0
Warmed Omari,FRA,DF,22,2000,15.1,982,956,25,23,4,0,0,0,0,0,0,0,911,1,1
Xeka,POR,MF,27,1994,6.1,312,296,14,14,1,6,0,0,0,0,0,0,279,2,5
