General,General,General,General,General,General,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-ons,Take-ons,Take-ons,Take-ons,Take-ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Player,Nation,Pos,Age,Born,90s,Touches,Def pen,Def 3rd,Mid 3rd,Att 3rd,Att pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,Totdist,Prgdist,Prgc,1/3,Cpa,Mis,Dis,Rec,Prgr
András Schäfer,HUN,MF,23,1999,9.6,391,15,90,189,125,14,391,32,9,28.1,14,43.8,203,1157,523,15,12,4,21,13,212,18
Aïssa Laïdouni,TUN,MF,25,1996,9.7,433,16,94,220,129,8,433,30,14,46.7,14,46.7,280,1145,522,10,8,0,22,8,267,25
Christopher Trimmel,AUT,DF,35,1987,20.1,1190,63,324,470,405,28,1190,16,8,50.0,5,31.3,453,2299,1144,34,12,8,12,8,521,80
Danilho Doekhi,NED,DF,24,1998,24.6,1209,116,563,553,99,27,1209,7,3,42.9,1,14.3,640,2993,1470,15,9,1,8,3,703,21
Diogo Leite,POR,DF,23,1999,25.0,1626,200,765,765,110,20,1626,5,1,20.0,1,20.0,895,4279,2430,19,18,1,20,10,962,14
Frederik Rønnow,DEN,GK,29,1992,29.0,1340,883,1318,23,0,0,1340,0,0,,0,,861,4709,3107,0,0,0,0,0,727,0
Genki Haraguchi,JPN,MF,31,1991,5.5,214,12,34,119,64,10,214,6,5,83.3,1,16.7,109,586,272,6,8,2,5,3,121,18
Jamie Leweling,GER,"FW,MF",21,2001,2.9,123,0,12,33,82,18,123,25,5,20.0,17,68.0,87,727,167,8,11,2,14,8,89,24
Janik Haberer,GER,MF,28,1994,24.3,926,26,169,468,304,48,926,31,11,35.5,14,45.2,468,1930,897,21,15,5,36,19,540,84
Jordan Pefok,USA,FW,26,1996,15.1,490,24,55,195,244,71,488,16,9,56.3,7,43.8,215,703,177,4,3,1,42,26,337,53
Josip Juranović,CRO,DF,26,1995,10.4,553,33,154,215,194,10,552,11,7,63.6,4,36.4,216,996,435,11,3,2,6,3,224,33
Julian Ryerson,NOR,DF,24,1997,11.5,627,29,176,246,215,12,627,38,18,47.4,15,39.5,292,1652,690,20,16,4,11,14,293,32
Jérôme Roussillon,FRA,DF,29,1993,10.6,551,26,142,222,193,13,551,28,11,39.3,14,50.0,250,1206,551,18,11,4,12,8,271,42
Kevin Behrens,GER,FW,31,1991,17.1,687,30,53,312,327,83,687,24,12,50.0,8,33.3,306,1254,350,11,8,6,45,20,512,92
Lennart Grill,GER,GK,23,1999,5.0,225,163,220,5,0,0,225,0,0,,0,,150,734,437,0,0,0,0,0,128,0
Levin Öztunalı,GER,MF,26,1996,0.1,2,0,0,2,1,0,2,0,0,,0,,1,41,41,1,1,0,0,0,0,0
Miloš Pantović,SRB,MF,26,1996,2.3,108,5,34,41,33,7,107,1,0,0.0,0,0.0,52,184,81,2,0,0,3,2,62,4
Morten Thorsby,NOR,MF,26,1996,9.3,297,28,85,118,94,23,297,2,0,0.0,2,100.0,115,385,116,0,2,0,15,15,127,21
Niko Gießelmann,GER,DF,30,1991,14.5,889,37,254,322,319,22,889,14,4,28.6,8,57.1,349,1310,593,14,8,0,17,6,416,50
Paul Jaeckel,GER,DF,24,1998,13.3,748,60,369,347,40,4,748,9,7,77.8,2,22.2,426,1858,966,6,4,0,6,2,471,8
Paul Seguin,GER,MF,27,1995,7.7,417,7,81,187,150,11,417,14,7,50.0,6,42.9,219,1030,458,13,10,1,8,6,250,28
Rani Khedira,GER,MF,28,1994,32.0,1308,54,368,738,218,19,1308,18,10,55.6,7,38.9,561,2487,762,14,11,1,25,17,687,26
Robin Knoche,GER,DF,30,1992,31.9,1965,234,1045,887,45,23,1963,13,11,84.6,1,7.7,1093,5352,2849,12,3,1,15,7,1110,6
Sheraldo Becker,SUR,FW,27,1995,28.4,908,7,57,263,602,117,908,59,26,44.1,28,47.5,617,4379,2043,105,48,45,62,35,679,240
Sven Michel,GER,"FW,MF",32,1990,5.5,259,5,25,85,152,20,258,12,3,25.0,9,75.0,121,585,164,9,3,1,20,7,183,50
Tim Skarke,GER,"DF,MF",25,1996,0.6,50,1,4,15,31,5,50,2,1,50.0,1,50.0,33,159,49,3,0,1,3,4,34,10
Timo Baumgartl,GER,DF,26,1996,6.2,372,33,160,187,26,9,372,0,0,,0,,212,1099,626,4,4,0,3,0,227,2
Tymoteusz Puchacz,POL,DF,23,1999,0.6,44,1,5,19,20,0,44,2,0,0.0,1,50.0,21,82,31,0,0,0,4,0,24,9
