NED-Eredivisie
2223
Feyenoord
Alireza Jahanbakhsh
IRN
FW
28
1993
28
12
1221
13.6
5
7
12
5
0
0
2
0
3.2
3.2
5.4
8.6
57
66
166
0.37
0.52
0.88
0.37
0.88
0.24
0.39
0.63
0.24
0.63
