General,General,General,General,General,General,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,General,General,General,General
Player,Nation,Pos,Age,Born,90s,Tkl,Tklw,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+int,Clr,Err
Adrien Rabiot,FRA,MF,27,1995,30.5,65,35,31,23,11,30,57,52.6,27,37,7,30,26,91,44,1
Alex Sandro,BRA,DF,31,1991,19.9,35,20,16,16,3,15,22,68.2,7,27,10,17,15,50,64,1
Arkadiusz Milik,POL,FW,28,1994,17.6,12,8,2,8,2,2,8,25.0,6,10,1,9,1,13,14,0
Daniele Rugani,ITA,DF,28,1994,6.3,7,0,6,1,0,4,4,100.0,0,7,5,2,7,14,32,0
Danilo,BRA,DF,31,1991,35.4,92,62,61,23,8,52,73,71.2,21,39,20,19,47,139,114,1
Denis Zakaria,SUI,MF,25,1996,1.4,6,3,1,4,1,2,2,100.0,0,2,0,2,2,8,1,0
Dušan Vlahović,SRB,FW,22,2000,21.4,11,6,0,7,4,4,10,40.0,6,10,3,7,3,14,8,1
Enzo Barrenechea,ARG,MF,21,2001,1.8,8,3,3,4,1,3,5,60.0,2,3,0,3,2,10,3,0
Fabio Miretti,ITA,"MF,FW",18,2003,13.7,24,11,15,6,3,12,29,41.4,17,20,1,19,4,28,11,0
Federico Chiesa,ITA,"DF,MF",24,1997,9.5,22,11,6,6,10,5,14,35.7,9,13,1,12,0,22,1,0
Federico Gatti,ITA,DF,24,1998,16.1,15,11,9,4,2,9,15,60.0,6,20,14,6,21,36,54,2
Filip Kostić,SRB,"DF,FW",29,1992,28.5,41,26,17,20,4,21,47,44.7,26,30,4,26,16,57,32,0
Gleison Bremer,BRA,DF,25,1997,29.3,29,20,23,5,1,19,26,73.1,7,44,22,22,42,71,120,2
Juan Cuadrado,COL,"DF,FW",34,1988,23.1,50,34,34,13,3,27,65,41.5,38,15,2,13,24,74,32,0
Leandro Paredes,ARG,MF,28,1994,10.9,19,13,7,11,1,10,22,45.5,12,8,0,8,17,36,22,0
Leonardo Bonucci,ITA,DF,35,1987,9.8,5,4,1,4,0,2,4,50.0,2,12,8,4,13,18,29,0
Manuel Locatelli,ITA,MF,24,1998,27.2,59,33,26,23,10,30,53,56.6,23,50,22,28,27,86,59,0
Mattia De Sciglio,ITA,DF,29,1992,11.6,14,7,8,3,3,9,14,64.3,5,9,3,6,4,18,20,0
Mattia Perin,ITA,GK,29,1992,10.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Matìas Soulé,ARG,"MF,FW",19,2003,4.7,7,4,3,2,2,5,7,71.4,2,7,1,6,3,10,3,0
Moise Kean,ITA,FW,22,2000,11.1,8,6,2,5,1,3,7,42.9,4,4,0,4,5,13,2,0
Nicolò Fagioli,ITA,MF,21,2001,16.9,29,19,12,15,2,8,27,29.6,19,16,2,14,8,37,7,1
Nicolò Rovella,ITA,MF,20,2001,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Paul Pogba,FRA,"MF,FW",29,1993,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Samuel Iling-Junior,ENG,"DF,FW",18,2003,3.5,7,2,3,1,3,4,9,44.4,5,5,1,4,2,9,6,0
Tommaso Barbieri,ITA,DF,19,2002,1.2,3,3,3,0,0,3,8,37.5,5,3,0,3,0,3,2,0
Weston McKennie,USA,"MF,DF",23,1998,11.7,14,5,3,9,2,5,8,62.5,3,15,4,11,11,25,15,1
Wojciech Szczęsny,POL,GK,32,1990,27.5,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,7,0
Ángel Di María,ARG,"FW,MF",34,1988,15.1,10,5,3,5,2,3,19,15.8,16,15,0,15,7,17,0,0
